id_entrega,fecha,zona,tipo_pedido,clima,trafico,tiempo_entrega,retraso,lat,lng
1,2025-08-14 16:37:45.878829,San Miguel,Supermercado,Soleado,Bajo,45,16,13.4833,-88.1833
2,2025-03-20 03:11:37.062006,San Salvador,Restaurante,Lluvioso,Alto,36,3,13.6929,-89.2182
3,2025-04-14 01:48:24.765805,San Salvador,Supermercado,Lluvioso,Medio,46,11,13.6929,-89.2182
4,2025-06-10 07:09:25.710509,Santa Ana,Tienda en línea,Soleado,Medio,46,10,13.9942,-89.5597
5,2025-08-10 20:19:06.735755,San Salvador,Supermercado,Lluvioso,Medio,57,26,13.6929,-89.2182
6,2025-03-11 10:36:23.794732,San Salvador,Tienda en línea,Soleado,Bajo,20,0,13.6929,-89.2182
7,2025-07-18 02:48:58.420749,La Libertad,Supermercado,Lluvioso,Medio,31,0,13.4883,-89.3222
8,2025-07-31 10:17:38.293856,San Salvador,Supermercado,Lluvioso,Alto,59,23,13.6929,-89.2182
9,2025-07-05 09:59:41.706462,Santa Ana,Farmacia,Soleado,Alto,43,21,13.9942,-89.5597
10,2025-03-22 12:29:54.428639,La Libertad,Restaurante,Nublado,Medio,39,11,13.4883,-89.3222
11,2025-05-20 15:21:35.874302,San Salvador,Farmacia,Nublado,Bajo,30,0,13.6929,-89.2182
12,2025-06-12 17:40:41.406964,Santa Ana,Tienda en línea,Lluvioso,Alto,49,27,13.9942,-89.5597
13,2025-06-26 18:41:17.003342,Santa Ana,Farmacia,Lluvioso,Alto,59,39,13.9942,-89.5597
14,2025-05-29 14:27:15.142656,San Salvador,Tienda en línea,Soleado,Bajo,23,0,13.6929,-89.2182
15,2025-05-04 15:26:12.630223,San Salvador,Restaurante,Nublado,Bajo,29,0,13.6929,-89.2182
16,2025-08-21 00:08:20.653594,San Salvador,Restaurante,Nublado,Bajo,45,10,13.6929,-89.2182
17,2025-06-24 12:55:27.328824,San Salvador,Supermercado,Soleado,Bajo,40,0,13.6929,-89.2182
18,2025-07-27 12:11:11.631672,Santa Ana,Tienda en línea,Soleado,Bajo,22,0,13.9942,-89.5597
19,2025-08-07 09:07:41.263785,San Salvador,Restaurante,Nublado,Medio,57,22,13.6929,-89.2182
20,2025-05-24 06:53:07.698133,Santa Ana,Restaurante,Nublado,Bajo,15,0,13.9942,-89.5597
21,2025-07-14 06:06:09.560552,La Libertad,Tienda en línea,Nublado,Medio,31,0,13.4883,-89.3222
22,2025-04-27 06:26:16.598891,San Miguel,Restaurante,Soleado,Alto,50,18,13.4833,-88.1833
23,2025-06-20 05:47:36.920512,La Libertad,Supermercado,Soleado,Bajo,32,10,13.4883,-89.3222
24,2025-04-07 06:33:41.794666,Santa Ana,Supermercado,Lluvioso,Alto,71,41,13.9942,-89.5597
25,2025-08-08 08:41:03.653167,Santa Ana,Restaurante,Soleado,Alto,54,30,13.9942,-89.5597
26,2025-07-31 04:59:50.451804,San Salvador,Tienda en línea,Lluvioso,Bajo,28,0,13.6929,-89.2182
27,2025-05-17 05:28:10.286278,San Salvador,Supermercado,Soleado,Bajo,44,24,13.6929,-89.2182
28,2025-03-05 05:55:03.068345,San Miguel,Restaurante,Soleado,Medio,27,0,13.4833,-88.1833
29,2025-03-15 02:50:32.065295,Santa Ana,Farmacia,Lluvioso,Medio,45,15,13.9942,-89.5597
30,2025-06-22 05:27:19.130172,Santa Ana,Tienda en línea,Nublado,Alto,30,0,13.9942,-89.5597
31,2025-08-01 16:18:13.308943,La Libertad,Supermercado,Soleado,Medio,50,25,13.4883,-89.3222
32,2025-04-29 04:45:24.468326,San Salvador,Supermercado,Nublado,Medio,38,5,13.6929,-89.2182
33,2025-06-14 00:01:02.354369,San Miguel,Tienda en línea,Soleado,Medio,27,6,13.4833,-88.1833
34,2025-08-12 06:15:47.193985,Santa Ana,Tienda en línea,Soleado,Bajo,17,0,13.9942,-89.5597
35,2025-03-24 01:38:31.741170,Santa Ana,Supermercado,Nublado,Medio,48,24,13.9942,-89.5597
